Direction	Motif_Name	Beta_Est	OddsRatio	Beta_SE	Beta_Z	Beta_Pval	Beta_Padj	Log10Beta	NLog10Padj
Count_Gain	AC0001:GATA/PROP:GATA	0.19216453412664447	1.2118698945169462	0.09283373433884148	2.0699860400449617	0.03845365175768958	0.06663180979500481	0.08345599678871081	1.176318390644369
Count_Gain	AC0002:PROP/ALX:Homeodomain	0.8336586464501358	2.301724550299338	0.07031330317477719	11.85634309311166	1.9949946798521696e-32	3.92141141758442e-31	0.3620533499442279	30.406557591004216
Count_Gain	AC0003:HNF1A/HNF1B:Homeodomain	0.08137820068743347	1.08478108394696	0.07611620213742776	1.0691311232332004	0.2850105892186673	0.3719329058475969	0.03534210350576777	0.4295353968068189
Count_Gain	AC0004:ZSCAN:C2H2_ZF	-0.253194185408616	0.776317117729396	0.1324355200071045	-1.91182988819792	0.05589801685000493	0.09228307768675356	-0.10996083757295076	1.0348779299714324
Count_Gain	AC0005:POU3F/POU1F:Homeodomain,POU	-0.1404849666225288	0.868936727888415	0.0655264424557166	-2.143943137420743	0.03203744321319647	0.05676493459464953	-0.06101184579452676	1.2459198582097144
Count_Gain	AC0006:MEOX:Homeodomain	0.20925006525244383	1.2327532287371614	0.06967154791560176	3.0033790193081935	0.00266999681095442	0.00583208131581646	0.09087614867703173	2.234176429346429
Count_Gain	AC0007:BARX/NKX:Homeodomain	-0.09446937789026824	0.90985559589734	0.06947715177423784	-1.3597186337926064	0.17391897914912752	0.24750008571221993	-0.04102752952657655	0.606424646329048
Count_Gain	AC0008:VENTX:Homeodomain	-0.25676429890602276	0.7735505189834065	0.08794767177005869	-2.919512179666782	0.0035057969433368	0.00757782225896512	-0.11151131816464284	2.120455585502822
Count_Gain	AC0009:PAX/VSX:Homeodomain	-0.01535015432678308	0.984767058779325	0.12115917442688195	-0.1266941145760836	0.899182504188724	0.930239794629453	-0.00666648732048521	0.03140508578955223
Count_Gain	AC0010:DLX/LHX:Homeodomain	-0.01535015432678308	0.984767058779325	0.12115917442688195	-0.1266941145760836	0.899182504188724	0.930239794629453	-0.00666648732048521	0.03140508578955223
Count_Gain	AC0011:POU6F/NKX:Homeodomain	0.3101511101331799	1.3636311570499495	0.06871001589212643	4.513914108535675	6.364199993679894e-6	2.313920113309048e-5	0.13469691568700776	4.635651638879494
Count_Gain	AC0012:SATB:['Homeo_domain_factors']	-0.5014546819658383	0.6056489919288087	0.108668203544976	-4.614548373925169	3.939510151122083e-6	1.510946271375482e-5	-0.21777900130231365	4.820750978718564
